id,length,ttft,tpot,e2e,started
0,156,7.736945152282715,5.4836273193359375e-06,7.736950635910034,1775828288.766081
1,134,7.7363176345825195,1.9073486328125e-06,7.736319541931152,1775828288.766101
2,373,7.7353432178497314,9.5367431640625e-07,7.735344171524048,1775828288.7661097
3,125,7.734853982925415,9.5367431640625e-07,7.7348549365997314,1775828288.7661166
4,194,7.734219551086426,7.152557373046875e-07,7.734220266342163,1775828288.766122
5,284,7.733142852783203,9.5367431640625e-07,7.7331438064575195,1775828288.7661276
6,402,7.732041120529175,4.76837158203125e-07,7.732041597366333,1775828288.7661335
7,322,7.731106281280518,9.5367431640625e-07,7.731107234954834,1775828288.7661386
8,390,15.380382537841797,4.76837158203125e-06,15.380387306213379,1775828296.4164777
9,159,15.379770755767822,1.430511474609375e-06,15.379772186279297,1775828296.416493
10,342,15.378867149353027,9.5367431640625e-07,15.378868103027344,1775828296.4164999
11,363,15.377037525177002,7.152557373046875e-07,15.37703824043274,1775828296.416506
12,95,15.37650752067566,9.5367431640625e-07,15.376508474349976,1775828296.416512
13,252,15.375768899917603,7.152557373046875e-07,15.37576961517334,1775828296.416517
14,342,15.37486982345581,7.152557373046875e-07,15.374870538711548,1775828296.416522
15,391,23.010854959487915,4.291534423828125e-06,23.01085925102234,1775828304.054219
16,342,23.006755113601685,1.1920928955078125e-06,23.00675630569458,1775828304.0542347
17,129,23.006037950515747,1.1920928955078125e-06,23.006039142608643,1775828304.0542414
18,392,23.00503659248352,7.152557373046875e-07,23.005037307739258,1775828304.0542471
19,229,23.000895738601685,1.1920928955078125e-06,23.00089693069458,1775828304.054253
20,149,23.000256299972534,9.5367431640625e-07,23.00025725364685,1775828304.054258
21,58,22.99982476234436,7.152557373046875e-07,22.999825477600098,1775828304.054263
22,65,22.999398946762085,9.5367431640625e-07,22.9993999004364,1775828304.0542686
23,287,22.99859881401062,9.5367431640625e-07,22.998599767684937,1775828304.0542738
24,214,30.679763317108154,4.291534423828125e-06,30.679767608642578,1775828311.7362685
25,398,30.672587156295776,1.430511474609375e-06,30.67258858680725,1775828311.7362833
26,211,30.67186689376831,1.1920928955078125e-06,30.671868085861206,1775828311.7362905
27,381,30.67088007926941,4.76837158203125e-07,30.670880556106567,1775828311.736296
28,152,30.670212984085083,9.5367431640625e-07,30.6702139377594,1775828311.736301
29,345,30.668854475021362,7.152557373046875e-07,30.6688551902771,1775828311.7363057
30,315,30.667927742004395,7.152557373046875e-07,30.667928457260132,1775828311.7363107
31,202,37.68567991256714,3.814697265625e-06,37.685683727264404,1775828318.754741
32,234,37.68496608734131,1.430511474609375e-06,37.68496751785278,1775828318.754755
33,130,37.68145823478699,9.5367431640625e-07,37.681459188461304,1775828318.7547624
34,200,37.6807861328125,7.152557373046875e-07,37.68078684806824,1775828318.7547681
35,269,37.67998909950256,7.152557373046875e-07,37.6799898147583,1775828318.7547746
36,300,37.67912411689758,1.1920928955078125e-06,37.67912530899048,1775828318.7547796
37,29,37.67159557342529,1.1920928955078125e-06,37.67159676551819,1775828318.7547863
38,45,37.67120409011841,7.152557373046875e-07,37.671204805374146,1775828318.754791
39,347,37.67036747932434,7.152557373046875e-07,37.67036819458008,1775828318.7547958
40,331,37.669538259506226,7.152557373046875e-07,37.66953897476196,1775828318.7548008
41,52,45.33089995384216,4.5299530029296875e-06,45.330904483795166,1775828326.4165137
42,362,45.33007454872131,1.1920928955078125e-06,45.33007574081421,1775828326.416528
43,246,45.32936906814575,7.152557373046875e-07,45.32936978340149,1775828326.4165354
44,390,45.3284592628479,7.152557373046875e-07,45.32845997810364,1775828326.4165413
45,197,45.3278431892395,4.76837158203125e-07,45.32784366607666,1775828326.4165463
46,366,45.326951026916504,4.76837158203125e-07,45.32695150375366,1775828326.416551
47,279,45.32622456550598,7.152557373046875e-07,45.32622528076172,1775828326.4165561
48,378,52.88258218765259,4.291534423828125e-06,52.88258647918701,1775828333.976452
49,314,52.88166260719299,1.430511474609375e-06,52.88166403770447,1775828333.9764667
50,153,52.88106727600098,7.152557373046875e-07,52.881067991256714,1775828333.9764738
51,196,52.872851848602295,4.76837158203125e-07,52.87285232543945,1775828333.9764798
52,127,52.8722620010376,7.152557373046875e-07,52.872262716293335,1775828333.9764843
53,114,52.871652126312256,7.152557373046875e-07,52.87165284156799,1775828333.9764893
54,272,52.87086629867554,7.152557373046875e-07,52.870867013931274,1775828333.9764936
55,216,52.87016987800598,9.5367431640625e-07,52.8701708316803,1775828333.9764986
56,337,52.869261026382446,9.5367431640625e-07,52.86926198005676,1775828333.9765036
57,269,59.14063477516174,4.5299530029296875e-06,59.140639305114746,1775828340.2487106
58,44,59.14024639129639,1.430511474609375e-06,59.14024782180786,1775828340.248725
59,308,59.13940763473511,9.5367431640625e-07,59.139408588409424,1775828340.2487311
60,292,59.13858652114868,9.5367431640625e-07,59.138587474823,1775828340.2487369
61,50,59.13816428184509,7.152557373046875e-07,59.13816499710083,1775828340.248742
62,254,59.13741397857666,9.5367431640625e-07,59.13741493225098,1775828340.2487466
63,244,59.13499641418457,9.5367431640625e-07,59.13499736785889,1775828340.2487519
64,123,59.13448095321655,7.152557373046875e-07,59.13448166847229,1775828340.2487578
65,119,59.13395404815674,7.152557373046875e-07,59.133954763412476,1775828340.2487628
66,73,59.125227212905884,1.1920928955078125e-06,59.12522840499878,1775828340.2487679
67,347,66.20358204841614,4.5299530029296875e-06,66.20358657836914,1775828347.328092
68,365,66.20263910293579,9.5367431640625e-07,66.20264005661011,1775828347.3281074
69,65,66.2022123336792,1.1920928955078125e-06,66.2022135257721,1775828347.3281136
70,32,66.20187377929688,7.152557373046875e-07,66.20187449455261,1775828347.328119
71,43,66.20151162147522,7.152557373046875e-07,66.20151233673096,1775828347.3281233
72,103,66.20106959342957,7.152557373046875e-07,66.2010703086853,1775828347.328128
73,392,66.20010662078857,7.152557373046875e-07,66.20010733604431,1775828347.3281324
74,314,66.19923663139343,7.152557373046875e-07,66.19923734664917,1775828347.3281384
75,36,66.19884920120239,7.152557373046875e-07,66.19884991645813,1775828347.3281436
76,187,66.19824743270874,7.152557373046875e-07,66.19824814796448,1775828347.3281488
77,46,73.41889238357544,4.291534423828125e-06,73.41889667510986,1775828354.5491664
78,126,73.41827583312988,1.430511474609375e-06,73.41827726364136,1775828354.5491798
79,407,73.41724705696106,7.152557373046875e-07,73.4172477722168,1775828354.549186
80,90,73.41675567626953,7.152557373046875e-07,73.41675639152527,1775828354.549194
81,63,73.41633558273315,7.152557373046875e-07,73.41633629798889,1775828354.549199
82,154,73.40538454055786,1.1920928955078125e-06,73.40538573265076,1775828354.5492039
83,397,73.40433073043823,9.5367431640625e-07,73.40433168411255,1775828354.5492089
84,187,73.40363717079163,4.76837158203125e-07,73.40363764762878,1775828354.5492141
85,334,73.40274095535278,7.152557373046875e-07,73.40274167060852,1775828354.549218
86,123,73.40220284461975,9.5367431640625e-07,73.40220379829407,1775828354.549223
87,306,81.00952863693237,4.291534423828125e-06,81.0095329284668,1775828362.1574116
88,269,81.00875806808472,1.430511474609375e-06,81.00875949859619,1775828362.1574273
89,306,81.00789785385132,9.5367431640625e-07,81.00789880752563,1775828362.1574335
90,120,81.00736880302429,9.5367431640625e-07,81.00736975669861,1775828362.1574392
91,398,81.00637245178223,9.5367431640625e-07,81.00637340545654,1775828362.1574447
92,122,81.00582146644592,1.1920928955078125e-06,81.00582265853882,1775828362.1574497
93,326,81.0049409866333,9.5367431640625e-07,81.00494194030762,1775828362.1574562
94,344,86.04437613487244,4.5299530029296875e-06,86.04438066482544,1775828367.197862
95,242,86.04363203048706,1.6689300537109375e-06,86.04363369941711,1775828367.197876
96,282,86.04281568527222,7.152557373046875e-07,86.04281640052795,1775828367.197883
97,239,86.0337347984314,1.1920928955078125e-06,86.03373599052429,1775828367.197888
98,304,86.03281283378601,9.5367431640625e-07,86.03281378746033,1775828367.1978931
99,139,86.03221583366394,1.1920928955078125e-06,86.03221702575684,1775828367.197898
