id,length,ttft,tpot,e2e,started
6,402,7.236729145050049,5.4836273193359375e-06,7.236734628677368,1775821684.898533
8,390,7.234388828277588,1.430511474609375e-06,7.2343902587890625,1775821684.8985593
2,373,7.239648103713989,9.5367431640625e-07,7.239649057388306,1775821684.8985682
11,363,7.231713771820068,7.152557373046875e-07,7.231714487075806,1775821684.898575
10,342,7.23276162147522,9.5367431640625e-07,7.232762575149536,1775821684.8985813
25,398,14.65633773803711,4.0531158447265625e-06,14.656341791152954,1775821692.3454862
18,392,14.661138772964478,1.1920928955078125e-06,14.661139965057373,1775821692.345501
15,391,14.674821138381958,7.152557373046875e-07,14.674821853637695,1775821692.345508
44,390,14.631236553192139,7.152557373046875e-07,14.631237268447876,1775821692.345515
27,381,14.65469241142273,9.5367431640625e-07,14.654693365097046,1775821692.345522
48,378,21.478267192840576,4.76837158203125e-06,21.478271961212158,1775821699.2039907
46,366,21.480141162872314,9.5367431640625e-07,21.48014211654663,1775821699.204007
42,362,21.491580963134766,1.1920928955078125e-06,21.49158215522766,1775821699.2040145
39,347,21.49415111541748,1.1920928955078125e-06,21.494152307510376,1775821699.2040215
29,345,21.51163411140442,7.152557373046875e-07,21.511634826660156,1775821699.204028
14,342,27.759706497192383,4.5299530029296875e-06,27.759711027145386,1775821705.4287786
16,342,27.755300760269165,1.430511474609375e-06,27.75530219078064,1775821705.4287946
40,331,27.71773076057434,9.5367431640625e-07,27.717731714248657,1775821705.4288027
7,322,27.765740871429443,9.5367431640625e-07,27.76574182510376,1775821705.4288104
30,315,27.725317001342773,7.152557373046875e-07,27.72531771659851,1775821705.428819
49,314,33.12887954711914,4.5299530029296875e-06,33.128884077072144,1775821710.8555062
36,300,33.14761734008789,1.430511474609375e-06,33.147618770599365,1775821710.8555217
23,287,33.16814923286438,9.5367431640625e-07,33.168150186538696,1775821710.8555298
5,284,33.19472098350525,7.152557373046875e-07,33.194721698760986,1775821710.855537
47,279,33.130810022354126,4.76837158203125e-07,33.130810499191284,1775821710.8555434
35,269,37.64963412284851,4.291534423828125e-06,37.649638414382935,1775821715.3566818
13,252,37.688551902770996,1.1920928955078125e-06,37.68855309486389,1775821715.3566966
43,246,37.64343523979187,1.1920928955078125e-06,37.643436431884766,1775821715.3567042
32,234,37.65171837806702,7.152557373046875e-07,37.651719093322754,1775821715.3567116
19,229,37.67158889770508,7.152557373046875e-07,37.671589612960815,1775821715.3567176
24,214,41.37854743003845,4.291534423828125e-06,41.378551721572876,1775821719.066672
26,211,41.37685251235962,1.1920928955078125e-06,41.376853704452515,1775821719.066688
31,202,41.36245059967041,7.152557373046875e-07,41.36245131492615,1775821719.0666957
34,200,41.360477924346924,9.5367431640625e-07,41.36047887802124,1775821719.066702
45,197,41.351722240448,9.5367431640625e-07,41.351723194122314,1775821719.0667078
4,194,44.349892377853394,5.4836273193359375e-06,44.34989786148071,1775821722.0099814
9,159,44.3451144695282,1.1920928955078125e-06,44.345115661621094,1775821722.0100005
0,156,44.35278797149658,1.430511474609375e-06,44.35278940200806,1775821722.0100086
28,152,44.31853795051575,1.430511474609375e-06,44.31853938102722,1775821722.0100167
20,149,44.32430720329285,9.5367431640625e-07,44.32430815696716,1775821722.0100243
1,134,46.569567918777466,5.0067901611328125e-06,46.56957292556763,1775821724.2274723
33,130,46.52192306518555,1.430511474609375e-06,46.52192449569702,1775821724.2274902
17,129,46.54427933692932,1.430511474609375e-06,46.544280767440796,1775821724.2275
3,125,46.56807279586792,1.1920928955078125e-06,46.568073987960815,1775821724.2275069
12,95,46.56012964248657,1.1920928955078125e-06,46.56013083457947,1775821724.227514
22,65,47.423144817352295,4.5299530029296875e-06,47.4231493473053,1775821725.1097164
21,58,47.42359709739685,1.1920928955078125e-06,47.423598289489746,1775821725.1097322
41,52,47.398234844207764,7.152557373046875e-07,47.3982355594635,1775821725.1097388
38,45,47.40101599693298,9.5367431640625e-07,47.4010169506073,1775821725.1097443
37,29,47.40149688720703,7.152557373046875e-07,47.40149760246277,1775821725.1097496
