id,length,ttft,tpot,e2e,started
0,156,4.037191867828369,6.9141387939453125e-06,4.037198781967163,1775818364.6731524
1,134,4.036468505859375,1.6689300537109375e-06,4.036470174789429,1775818364.6731744
2,373,4.035349607467651,9.5367431640625e-07,4.035350561141968,1775818364.6731818
3,125,4.034794330596924,9.5367431640625e-07,4.03479528427124,1775818364.6731887
4,194,4.033971786499023,7.152557373046875e-07,4.033972501754761,1775818364.6731954
5,284,10.464949607849121,5.4836273193359375e-06,10.46495509147644,1775818371.1053567
6,402,10.463424921035767,1.430511474609375e-06,10.463426351547241,1775818371.1053774
7,322,10.460912704467773,9.5367431640625e-07,10.46091365814209,1775818371.105403
8,390,10.459104537963867,9.5367431640625e-07,10.459105491638184,1775818371.1054149
9,159,10.458081007003784,7.152557373046875e-07,10.458081722259521,1775818371.105429
10,342,16.17413330078125,5.4836273193359375e-06,16.17413878440857,1775818376.8230317
11,363,16.171324014663696,1.1920928955078125e-06,16.171325206756592,1775818376.8230495
12,95,16.167697429656982,9.5367431640625e-07,16.1676983833313,1775818376.8230567
13,252,16.158735990524292,7.152557373046875e-07,16.15873670578003,1775818376.823064
14,342,16.157719612121582,7.152557373046875e-07,16.15772032737732,1775818376.8230705
15,391,22.195791244506836,6.9141387939453125e-06,22.19579815864563,1775818382.8621852
16,342,22.194825410842896,1.9073486328125e-06,22.19482731819153,1775818382.862211
17,129,22.19428777694702,7.152557373046875e-07,22.19428849220276,1775818382.862238
18,392,22.19318461418152,1.430511474609375e-06,22.193186044692993,1775818382.8622465
19,229,22.19246006011963,2.86102294921875e-06,22.192462921142578,1775818382.8622696
