id,length,ttft,tpot,e2e,started
0,156,0.6203415393829346,5.7220458984375e-06,0.620347261428833,1775819948.403977
1,134,1.1165704727172852,5.0067901611328125e-06,1.1165754795074463,1775819948.900869
2,373,2.5519165992736816,4.291534423828125e-06,2.5519208908081055,1775819950.3372114
3,125,3.0152628421783447,4.291534423828125e-06,3.0152671337127686,1775819950.8010554
4,194,3.7296063899993896,3.814697265625e-06,3.7296102046966553,1775819951.5160582
5,284,4.802726745605469,3.814697265625e-06,4.802730560302734,1775819952.5903244
6,402,6.35462760925293,4.291534423828125e-06,6.3546319007873535,1775819954.1433623
7,322,7.577932119369507,4.291534423828125e-06,7.577936410903931,1775819955.3675961
8,390,9.07862639427185,4.291534423828125e-06,9.078630685806274,1775819956.8693419
9,159,9.665392875671387,4.5299530029296875e-06,9.66539740562439,1775819957.4567986
10,342,10.968133687973022,5.0067901611328125e-06,10.968138694763184,1775819958.7604566
11,363,12.374748468399048,4.76837158203125e-06,12.37475323677063,1775819960.1680784
12,95,12.73223352432251,5.0067901611328125e-06,12.732238531112671,1775819960.5260735
13,252,13.670143127441406,4.76837158203125e-06,13.670147895812988,1775819961.4647372
14,342,14.974164962768555,4.291534423828125e-06,14.974169254302979,1775819962.769668
15,391,16.486268520355225,4.76837158203125e-06,16.486273288726807,1775819964.2851799
16,342,17.78952717781067,4.5299530029296875e-06,17.789531707763672,1775819965.5894356
17,129,18.266574144363403,4.291534423828125e-06,18.266578435897827,1775819966.0670395
18,392,19.772297859191895,4.5299530029296875e-06,19.772302389144897,1775819967.575697
19,229,20.623348712921143,4.76837158203125e-06,20.623353481292725,1775819968.427525
20,149,21.171042442321777,4.291534423828125e-06,21.1710467338562,1775819968.9782119
21,58,21.399290800094604,5.0067901611328125e-06,21.399295806884766,1775819969.2069252
22,65,21.651633262634277,4.76837158203125e-06,21.65163803100586,1775819969.459715
23,287,22.753520250320435,5.4836273193359375e-06,22.753525733947754,1775819970.562402
24,214,23.544389724731445,4.5299530029296875e-06,23.54439425468445,1775819971.3540032
25,398,25.07740616798401,4.5299530029296875e-06,25.07741069793701,1775819972.8950772
26,211,25.859652280807495,4.291534423828125e-06,25.85965657234192,1775819973.6780698
27,381,27.340235233306885,4.0531158447265625e-06,27.34023928642273,1775819975.159658
28,152,27.899620294570923,4.5299530029296875e-06,27.899624824523926,1775819975.7197075
29,345,29.23159646987915,5.0067901611328125e-06,29.23160147666931,1775819977.0525951
30,315,30.437979698181152,5.4836273193359375e-06,30.43798518180847,1775819978.2598839
31,202,31.186588287353516,5.0067901611328125e-06,31.186593294143677,1775819979.009184
32,234,32.054187536239624,4.291534423828125e-06,32.05419182777405,1775819979.8775194
33,130,32.53495931625366,4.0531158447265625e-06,32.53496336936951,1775819980.3588462
34,200,33.27111864089966,4.291534423828125e-06,33.27112293243408,1775819981.0984643
35,269,34.28582215309143,4.0531158447265625e-06,34.285826206207275,1775819982.1139865
36,300,35.4250693321228,4.0531158447265625e-06,35.42507338523865,1775819983.2540689
37,29,35.55592918395996,4.76837158203125e-06,35.55593395233154,1775819983.3852887
38,45,35.74173402786255,4.76837158203125e-06,35.74173879623413,1775819983.5715592
39,347,37.0661780834198,4.291534423828125e-06,37.066182374954224,1775819984.9010186
40,331,38.33143496513367,4.291534423828125e-06,38.33143925666809,1775819986.1672747
41,52,38.54290175437927,4.5299530029296875e-06,38.542906284332275,1775819986.379193
42,362,39.93789458274841,5.0067901611328125e-06,39.937899589538574,1775819987.7754147
43,246,40.850911140441895,5.0067901611328125e-06,40.850916147232056,1775819988.689226
44,390,42.354819536209106,4.291534423828125e-06,42.35482382774353,1775819990.195021
45,197,43.07603716850281,4.76837158203125e-06,43.07604193687439,1775819990.9235873
46,366,44.478679180145264,5.0067901611328125e-06,44.478684186935425,1775819992.3272488
47,279,45.53873085975647,4.291534423828125e-06,45.538735151290894,1775819993.3881278
48,378,46.99437952041626,4.291534423828125e-06,46.994383811950684,1775819994.8447728
49,314,48.19416689872742,5.0067901611328125e-06,48.19417190551758,1775819996.0454574
