id,length,ttft,tpot,e2e,started
0,156,0.6579227447509766,0.05355215554285531,5.959586143493652,1775825573.8174207
1,134,6.4562602043151855,0.05313449435763889,11.716575145721436,1775825579.616455
2,373,13.162285804748535,0.05378250883083151,18.486754179000854,1775825586.3234985
3,125,18.95370101928711,0.05406758279511423,24.306391716003418,1775825592.1154373
4,194,25.023088932037354,0.05368842018975152,30.338242530822754,1775825598.1854784
5,284,31.41675329208374,0.05382851639179268,36.745776414871216,1775825604.5802543
6,402,38.29862642288208,0.053457438343703145,43.59091281890869,1775825611.4632525
7,322,44.82002019882202,0.053891849036168574,50.15531325340271,1775825617.9856083
8,390,51.6633083820343,0.053852772471880674,56.99473285675049,1775825624.829989
9,159,57.58164930343628,0.053299352376147954,62.85828518867493,1775825630.7489736
10,342,64.16373467445374,0.05358728495511142,69.46887588500977,1775825637.3319957
11,363,70.88316774368286,0.05363774058794735,76.19330406188965,1775825644.0524614
12,95,76.5539722442627,0.05250871783555156,81.7523353099823,1775825649.7238538
13,252,82.69633531570435,0.05322869377906876,87.96597599983215,1775825655.8669932
14,342,89.28053283691406,0.05348317791717221,94.57536745071411,1775825662.4521227
15,391,96.08767867088318,0.05327594641483191,101.36199736595154,1775825669.261174
16,342,102.66401028633118,0.053322211660519994,107.94290924072266,1775825675.8475873
17,129,108.42505693435669,0.05320001370979078,113.69185829162598,1775825681.6092942
18,392,115.23069667816162,0.053570210331618184,120.53414750099182,1775825688.415967
19,229,121.39394164085388,0.0531386678869074,126.65466976165771,1775825694.5799396
20,149,127.20723628997803,0.05330565722301753,132.48449635505676,1775825700.393828
21,58,132.71453952789307,0.052952106552894666,137.95679807662964,1775825705.9015563
22,65,138.21107840538025,0.05230311913923784,143.3890872001648,1775825711.3985157
23,287,144.4915051460266,0.052814098319622,149.7201008796692,1775825717.6797552
24,214,150.51027989387512,0.052624846949721825,155.72013974189758,1775825723.6993492
25,398,157.2654209136963,0.05324441736394709,162.53661823272705,1775825730.4555228
26,211,163.32238245010376,0.052714913782447276,168.54115891456604,1775825736.5134573
27,381,170.02783513069153,0.053684990815442014,175.3426492214203,1775825743.2199404
