id,length,ttft,tpot,e2e,started
0,156,7.919755697250366,6.198883056640625e-06,7.919761896133423,1775817045.2973804
1,134,7.9185707569122314,1.6689300537109375e-06,7.918572425842285,1775817045.2974005
2,373,7.917266845703125,1.1920928955078125e-06,7.9172680377960205,1775817045.2974086
3,125,7.916520595550537,9.5367431640625e-07,7.9165215492248535,1775817045.2974157
4,194,7.9156880378723145,1.430511474609375e-06,7.915689468383789,1775817045.2974215
5,284,7.914798736572266,7.152557373046875e-07,7.914799451828003,1775817045.297429
6,402,7.913620948791504,1.430511474609375e-06,7.9136223793029785,1775817045.2974346
7,322,7.912675619125366,7.152557373046875e-07,7.9126763343811035,1775817045.2974408
8,390,9.861485958099365,5.0067901611328125e-06,9.861490964889526,1775817047.2473223
9,159,9.860869884490967,9.5367431640625e-07,9.860870838165283,1775817047.2473395
