id,length,ttft,tpot,e2e,started
6,402,8.058326482772827,7.3909759521484375e-06,8.05833387374878,1775816647.33283
8,390,8.054747581481934,1.9073486328125e-06,8.054749488830566,1775816647.3328521
2,373,8.061590433120728,1.1920928955078125e-06,8.061591625213623,1775816647.3328614
7,322,8.055996894836426,1.1920928955078125e-06,8.055998086929321,1775816647.3328688
5,284,8.059491157531738,7.152557373046875e-07,8.059491872787476,1775816647.3328755
4,194,8.060319662094116,1.1920928955078125e-06,8.060320854187012,1775816647.332881
9,159,9.898316383361816,5.4836273193359375e-06,9.898321866989136,1775816649.1771388
0,156,9.907748460769653,1.6689300537109375e-06,9.907750129699707,1775816649.1771567
1,134,9.907035827636719,1.6689300537109375e-06,9.907037496566772,1775816649.1771657
3,125,9.905347108840942,9.5367431640625e-07,9.905348062515259,1775816649.177174
