id,length,ttft,tpot,e2e,started
0,156,3.76603102684021,5.245208740234375e-06,3.76603627204895,1775826890.5988863
1,134,3.765368938446045,1.6689300537109375e-06,3.7653706073760986,1775826890.5989046
2,373,3.7643868923187256,9.5367431640625e-07,3.764387845993042,1775826890.5989122
3,125,3.7634782791137695,4.76837158203125e-07,3.7634787559509277,1775826890.5989187
4,194,3.7625572681427,9.5367431640625e-07,3.7625582218170166,1775826890.598924
5,284,9.674678087234497,5.0067901611328125e-06,9.674683094024658,1775826896.5119019
6,402,9.67360234260559,9.5367431640625e-07,9.673603296279907,1775826896.5119178
7,322,9.672677040100098,9.5367431640625e-07,9.672677993774414,1775826896.5119245
8,390,9.671628713607788,7.152557373046875e-07,9.671629428863525,1775826896.5119305
9,159,9.671007871627808,9.5367431640625e-07,9.671008825302124,1775826896.5119364
10,342,14.969187498092651,4.0531158447265625e-06,14.969191551208496,1775826901.8110209
11,363,14.968181848526001,9.5367431640625e-07,14.968182802200317,1775826901.8110356
12,95,14.967669010162354,7.152557373046875e-07,14.96766972541809,1775826901.8110428
13,252,14.966939687728882,7.152557373046875e-07,14.96694040298462,1775826901.8110487
14,342,14.966036558151245,9.5367431640625e-07,14.966037511825562,1775826901.811054
15,391,20.596134424209595,4.291534423828125e-06,20.59613871574402,1775826907.452289
16,342,20.595008373260498,9.5367431640625e-07,20.595009326934814,1775826907.4523046
17,129,20.594435453414917,7.152557373046875e-07,20.594436168670654,1775826907.4523118
18,392,20.593432664871216,9.5367431640625e-07,20.593433618545532,1775826907.4523172
19,229,20.592689752578735,4.76837158203125e-07,20.592690229415894,1775826907.4523234
20,149,23.449942111968994,4.0531158447265625e-06,23.44994616508484,1775826910.3101492
21,58,23.449547290802002,9.5367431640625e-07,23.44954824447632,1775826910.310163
22,65,23.44913625717163,9.5367431640625e-07,23.449137210845947,1775826910.3101687
23,287,23.44828200340271,9.5367431640625e-07,23.448282957077026,1775826910.3101735
24,214,23.447407484054565,9.5367431640625e-07,23.447408437728882,1775826910.310179
25,398,29.083019256591797,4.291534423828125e-06,29.08302354812622,1775826915.9468112
26,211,29.082340717315674,1.6689300537109375e-06,29.082342386245728,1775826915.9468267
27,381,29.081360578536987,1.1920928955078125e-06,29.081361770629883,1775826915.9468343
28,152,29.079988718032837,1.1920928955078125e-06,29.079989910125732,1775826915.9468412
29,345,29.0790696144104,1.1920928955078125e-06,29.079070806503296,1775826915.9468474
30,315,33.094937801361084,4.5299530029296875e-06,33.09494233131409,1775826919.9716804
