id,length,ttft,tpot,e2e,started
6,402,7.903923511505127,2.501925097571479,30.421249389648438,1775829992.07217
8,390,7.901940822601318,2.501926210191515,30.41927671432495,1775829992.0721774
2,373,7.9072959423065186,2.5019267400105796,30.424636602401733,1775829992.072181
11,363,7.899353265762329,2.5019271903567843,30.41669797897339,1775829992.0721846
10,342,7.900376796722412,2.501927614212036,30.417725324630737,1775829992.0721874
14,342,15.757442712783813,2.3670507272084556,37.06089925765991,1775829999.9326506
79,407,15.661556005477905,2.3670518663194446,36.965022802352905,1775829999.9326541
25,398,15.737777948379517,2.367052343156603,37.04124903678894,1775829999.9326575
91,398,15.642037630081177,2.367052846484714,36.9455132484436,1775829999.9326603
83,397,15.658844709396362,2.3670532968309193,36.962324380874634,1775829999.9326634
18,392,23.616547107696533,2.1940261787838407,43.3627827167511,1775830007.8065665
73,392,23.547621488571167,2.1940273178948297,43.293867349624634,1775830007.8065696
15,391,23.619428634643555,2.194027953677707,43.36568021774292,1775830007.806572
44,390,23.586387157440186,2.1940284305148654,43.332643032073975,1775830007.8065755
27,381,23.609995126724243,2.1940289073520236,43.356255292892456,1775830007.8065786
48,378,29.245206594467163,2.2235676447550454,49.25731539726257,1775830013.475623
46,366,29.24700665473938,2.223568836847941,49.25912618637085,1775830013.4756258
68,365,29.221155405044556,2.2235695785946317,49.23328161239624,1775830013.4756286
42,362,29.25937843322754,2.2235700289408364,49.27150869369507,1775830013.4756315
39,347,29.261956930160522,2.2235704792870417,49.2740912437439,1775830013.4756346
67,347,36.982661485672,2.0999370416005454,55.882094860076904,1775830021.23618
29,345,37.03796362876892,2.0999382072024875,55.93740749359131,1775830021.2361834
94,344,36.94317960739136,2.0999388694763184,55.84262943267822,1775830021.236186
16,342,37.04777932167053,2.0999395317501492,55.947235107421875,1775830021.2361887
56,337,36.997591733932495,2.0999400350782604,55.89705204963684,1775830021.2361917
85,334,43.27744650840759,1.975725120968289,61.05897259712219,1775830027.5528767
40,331,43.33799600601196,1.9757264190249972,61.11953377723694,1775830027.5528796
93,326,43.26079869270325,1.975727187262641,61.04234337806702,1775830027.5528824
7,322,43.38370609283447,1.9757278495364718,61.16525673866272,1775830027.552885
30,315,43.34523344039917,1.9757283793555365,61.126788854599,1775830027.5528874
49,314,49.25645112991333,1.8445022371080186,65.8569712638855,1775830033.487803
74,314,49.219756841659546,1.8445035086737738,65.82028841972351,1775830033.4878054
59,308,49.239466428756714,1.8445040384928386,65.84000277519226,1775830033.4878087
87,306,49.21097683906555,1.844504674275716,65.811518907547,1775830033.4878113
89,306,49.19874358177185,1.8445052305857341,65.79929065704346,1775830033.487814
98,304,54.788639307022095,1.712011416753133,70.1967420578003,1775830039.0848603
36,300,54.87283492088318,1.7120129267374675,70.28095126152039,1775830039.084864
60,292,54.83566188812256,1.7120137479570177,70.24378561973572,1775830039.0848668
23,287,54.891871213912964,1.7120145426856146,70.3000020980835,1775830039.0848699
5,284,54.91772818565369,1.7120155493418376,70.32586812973022,1775830039.0848725
96,282,61.039865493774414,1.5624624358283148,75.10202741622925,1775830045.3344798
47,279,61.10504221916199,1.5624635749393039,75.16721439361572,1775830045.3344827
54,272,61.099843978881836,1.5624642901950412,75.1620225906372,1775830045.3344853
35,269,61.12333583831787,1.5624648994869657,75.18551993370056,1775830045.334488
57,269,61.09506702423096,1.562465535269843,75.15725684165955,1775830045.3344898
88,269,65.80028176307678,1.4199592272440593,78.57991480827332,1775830050.0883982
62,254,65.83803272247314,1.4199602868821886,78.61767530441284,1775830050.088401
13,252,65.91431379318237,1.4199608696831598,78.69396162033081,1775830050.0884037
43,246,65.86922907829285,1.4199613995022244,78.64888167381287,1775830050.0884066
63,244,65.83728504180908,1.4199617968665228,78.61694121360779,1775830050.0884092
95,242,70.19928026199341,1.2519176536136203,81.46653914451599,1775830054.493061
97,239,70.19769406318665,1.251918739742703,81.46496272087097,1775830054.4930642
32,234,70.2839584350586,1.2519192165798612,81.55123138427734,1775830054.493068
19,229,70.30229949951172,1.2519196934170194,81.56957674026489,1775830054.4930723
55,216,70.25544810295105,1.251920011308458,81.52272820472717,1775830054.493076
24,214,74.12564611434937,1.0996279451582167,84.02229762077332,1775830058.3194876
26,211,74.12389779090881,1.0996291372511122,84.02056002616882,1775830058.3194897
31,202,74.1111228466034,1.09962969356113,84.00779008865356,1775830058.3194926
34,200,74.10917258262634,1.099630249871148,84.00584483146667,1775830058.3194954
45,197,74.09192061424255,1.0996307796902127,83.98859763145447,1775830058.319498
51,196,78.63545846939087,0.9634420077006022,87.30643653869629,1775830062.8681014
4,194,78.7020480632782,0.9634431997934977,87.37303686141968,1775830062.8681045
76,187,78.59898900985718,0.9634438355763754,87.26998353004456,1775830062.8681073
84,187,78.59360980987549,0.9634443918863932,87.26460933685303,1775830062.8681102
9,159,78.69722485542297,0.9634450011783176,87.36822986602783,1775830062.8681128
0,156,81.59713792800903,0.8710237609015571,89.43635177612305,1775830065.7603927
82,154,81.48758625984192,0.8710249529944526,89.32681083679199,1775830065.7603958
50,153,81.528404712677,0.871025562286377,89.3676347732544,1775830065.7603981
28,152,81.56310200691223,0.8710260391235352,89.40233635902405,1775830065.7604012
20,149,81.56904101371765,0.8710265159606934,89.40827965736389,1775830065.7604036
99,139,83.91941380500793,0.7518524328867594,90.68608570098877,1775830068.2162118
1,134,84.05230402946472,0.751853519015842,90.8189857006073,1775830068.2162151
33,130,84.00654172897339,0.7518541812896729,90.77322936058044,1775830068.2162175
17,129,84.02722692489624,0.7518547111087375,90.79391932487488,1775830068.2162204
52,127,83.98302030563354,0.7518552674187554,90.74971771240234,1775830068.2162223
78,126,86.27563810348511,0.6052721076541476,91.72308707237244,1775830070.5456688
3,125,86.38025879859924,0.6052731937832303,91.82771754264832,1775830070.5456717
64,123,86.29402828216553,0.6052738560570611,91.74149298667908,1775830070.5456748
86,123,86.2697114944458,0.605274412367079,91.71718120574951,1775830070.5456777
92,122,86.25448536872864,0.6052748892042372,91.70195937156677,1775830070.5456805
90,120,89.3100655078888,0.45657918188307023,93.41927814483643,1775830073.5996773
65,119,89.3475067615509,0.4565804534488254,93.45673084259033,1775830073.5996797
53,114,89.36587071418762,0.45658103624979657,93.47510004043579,1775830073.5996823
72,103,89.34174108505249,0.456581539577908,93.45097494125366,1775830073.5996854
12,95,89.42633867263794,0.45658204290601945,93.53557705879211,1775830073.5996885
80,90,90.71134853363037,0.3170135021209717,93.56447005271912,1775830074.9829547
66,73,90.73035287857056,0.3170146147410075,93.58348441123962,1775830074.9829571
22,65,90.79076361656189,0.3170151710510254,93.64390015602112,1775830074.9829602
69,65,90.72804427146912,0.31701578034294975,93.58118629455566,1775830074.9829626
81,63,90.71080994606018,0.3170162041982015,93.563955783844,1775830074.982965
21,58,91.80140686035156,0.21501866976420084,93.73657488822937,1775830075.9931889
41,52,91.77786564826965,0.21501986185709634,93.71304440498352,1775830075.9931917
61,50,91.74357008934021,0.21502047114902073,93.6787543296814,1775830075.9931943
77,46,91.72368288040161,0.21502208709716797,93.65888166427612,1775830075.993197
38,45,91.78041243553162,0.21502280235290527,93.71561765670776,1775830075.9931998
58,44,92.50813388824463,0.1368945704566108,93.74018502235413,1775830076.755561
